ID,Form_ID,Form,Cognateset_ID,Doubt,Cognate_Detection_Method,Source,Alignment,Alignment_Method,Alignment_Source
d20bvamba1919-tree-1-1,d20bvamba1919-tree-1,Mu-ti,tree-1,false,expert,,,,
d20bvamba1919-two-1-1,d20bvamba1919-two-1,wiri,two-12,false,expert,,,,
d20bvamba1919-urine-1-1,d20bvamba1919-urine-1,M-kali,urine-14,false,expert,,,,
d20bvamba1919-war-1-1,d20bvamba1919-war-1,Ku-rua-na,war-17,false,expert,,,,
d20bvamba1919-wind-1-1,d20bvamba1919-wind-1,M-puega,wind-11,false,expert,,,,
d20bvamba1919-woman-1-1,d20bvamba1919-woman-1,Mu-kali,woman-7,false,expert,,,,
d304homa1919-animal-1-1,d304homa1919-animal-1,Ny-ama,animal-1,false,expert,,,,
d304homa1919-arm-1-1,d304homa1919-arm-1,Bakɯ,arm-1,false,expert,,,,
d304homa1919-belly-1-1,d304homa1919-belly-1,sapɯ,belly-22,false,expert,,,,
d304homa1919-bird-1-1,d304homa1919-bird-1,M-buru,bird-4,false,expert,,,,
d304homa1919-blood-1-1,d304homa1919-blood-1,Bu-gurrum,blood-22,false,expert,,,,
d304homa1919-bone-1-1,d304homa1919-bone-1,Kɯɯ,bone-16,false,expert,,,,
d304homa1919-breast-1-1,d304homa1919-breast-1,Ma-rungɯma,breast-12,false,expert,,,,
d304homa1919-child-1-1,d304homa1919-child-1,M-ini-k,child-8,false,expert,,,,
d304homa1919-come-1-1,d304homa1919-come-1,-duna,come-39,false,expert,,,,
d304homa1919-die-1-1,d304homa1919-die-1,-kus,die-10,false,expert,,,,
d304homa1919-dog-1-1,d304homa1919-dog-1,Um-ba,dog-2,false,expert,,,,
d304homa1919-ear-1-1,d304homa1919-ear-1,Tao-k,ear-12,false,expert,,,,
d304homa1919-eat-1-1,d304homa1919-eat-1,ya.-mia,eat-1,false,expert,,,,
d304homa1919-egg-1-1,d304homa1919-egg-1,Ma-kɯma,egg-17,false,expert,,,,
d304homa1919-elephant-1-1,d304homa1919-elephant-1,M-bongɯ,elephant-6,false,expert,,,,
d304homa1919-eye-1-1,d304homa1919-eye-1,Ru-sul,eye-8,false,expert,,,,
d304homa1919-face-1-1,d304homa1919-face-1,Tundu-k,face-16,false,expert,,,,
d304homa1919-fatoil-1-1,d304homa1919-fatoil-1,Pa-tamut,fatoil-20,false,expert,,,,
d304homa1919-fingernail-1-1,d304homa1919-fingernail-1,Ka-n-zagali,fingernail-23,false,expert,,,,
d304homa1919-fire-1-1,d304homa1919-fire-1,Tsa-wguʂ,fire-30,false,expert,,,,
d304homa1919-firewood-1-1,d304homa1919-firewood-1,Suki-ti.,firewood-22,false,expert,,,,
d304homa1919-fish-1-1,d304homa1919-fish-1,Ba-ʂ,fish-21,false,expert,,,,
d304homa1919-five-1-1,d304homa1919-five-1,I-bɯmotɯ,five-6,false,expert,,,,
d304homa1919-four-1-1,d304homa1919-four-1,I-kwangani,four-5,false,expert,,,,
d304homa1919-give-1-1,d304homa1919-give-1,pam,give-26,false,expert,,,,
d304homa1919-goat-1-1,d304homa1919-goat-1,Meme,goat-14,false,expert,,,,
d304homa1919-groundsoil-1-1,d304homa1919-groundsoil-1,Tandu-k,groundsoil-30,false,expert,,,,
d304homa1919-hair-1-1,d304homa1919-hair-1,Sa-morɯ,hair-19,false,expert,,,,
d304homa1919-head-1-1,d304homa1919-head-1,M-orɯ,head-13,false,expert,,,,
d304homa1919-heart-1-1,d304homa1919-heart-1,Bu-kali,heart-17,false,expert,,,,
d304homa1919-horn-1-1,d304homa1919-horn-1,Pangu-m,horn-20,false,expert,,,,
d304homa1919-house-1-1,d304homa1919-house-1,N-dap,house-1,false,expert,,,,
d304homa1919-hunger-1-1,d304homa1919-hunger-1,Jale,hunger-1,false,expert,,,,
d304homa1919-iron-1-1,d304homa1919-iron-1,M-bali,iron-30,false,expert,,,,
d304homa1919-kill-1-1,d304homa1919-kill-1,tumis,kill-19,false,expert,,,,
d304homa1919-knee-1-1,d304homa1919-knee-1,E-dibe.,knee-10,false,expert,,,,
d304homa1919-knife-1-1,d304homa1919-knife-1,M-baku,knife-1,false,expert,,,,
d304homa1919-know-1-1,d304homa1919-know-1,-bis',know-32,false,expert,,,,
d304homa1919-leg-1-1,d304homa1919-leg-1,Goru-k,leg-21,false,expert,,,,
d304homa1919-man-1-1,d304homa1919-man-1,Mu-tu,man-7,false,expert,,,,
d304homa1919-moon-1-1,d304homa1919-moon-1,Timba,moon-14,false,expert,,,,
d304homa1919-mouth-1-1,d304homa1919-mouth-1,M-bɯkɯ,mouth-13,false,expert,,,,
d304homa1919-name-1-1,d304homa1919-name-1,L-ina,name-4,false,expert,,,,
d304homa1919-navel-1-1,d304homa1919-navel-1,Kuvu,navel-5,false,expert,,,,
d304homa1919-neck-1-1,d304homa1919-neck-1,Cungu-k,neck-7,false,expert,,,,
d304homa1919-night-1-1,d304homa1919-night-1,Rupu-k,night-24,false,expert,,,,
d304homa1919-nose-1-1,d304homa1919-nose-1,Yo,nose-20,false,expert,,,,
d304homa1919-one-1-1,d304homa1919-one-1,-mɯtɯ,one-14,false,expert,,,,
d304homa1919-rain-1-1,d304homa1919-rain-1,Dɯ-bari,rain-15,false,expert,,,,
d304homa1919-road-1-1,d304homa1919-road-1,Pens,road-25,false,expert,,,,
d304homa1919-salt-1-1,d304homa1919-salt-1,Mɯ-kɯ,salt-5,false,expert,,,,
d304homa1919-see-1-1,d304homa1919-see-1,wena,see-1,false,expert,,,,
d304homa1919-shame-1-1,d304homa1919-shame-1,Sɯnyi,shame-5,false,expert,,,,
d304homa1919-skin-1-1,d304homa1919-skin-1,Bu-raku-k,skin-23,false,expert,,,,
d304homa1919-sky-1-1,d304homa1919-sky-1,Ny-angot,sky-27,false,expert,,,,
d304homa1919-sleep-1-1,d304homa1919-sleep-1,U-lala-ba,sleep-14,false,expert,,,,
d304homa1919-smoke-1-1,d304homa1919-smoke-1,Kuli,smoke-28,false,expert,,,,
d304homa1919-snake-1-1,d304homa1919-snake-1,N-gamu,snake-15,false,expert,,,,
d304homa1919-spear-1-1,d304homa1919-spear-1,Kungwa-li,spear-1,false,expert,,,,
d304homa1919-steal-1-1,d304homa1919-steal-1,baku,steal-13,false,expert,,,,
d304homa1919-stone-1-1,d304homa1919-stone-1,Ma-buk,stone-20,false,expert,,,,
d304homa1919-sun-1-1,d304homa1919-sun-1,M-ani-k,sun-39,false,expert,,,,
d304homa1919-tail-1-1,d304homa1919-tail-1,Kus,tail-19,false,expert,,,,
d304homa1919-three-1-1,d304homa1919-three-1,I-sarɯ,three-1,false,expert,,,,
d304homa1919-tongue-1-1,d304homa1919-tongue-1,Dada-k,tongue-14,false,expert,,,,
d304homa1919-tooth-1-1,d304homa1919-tooth-1,Nunnur,tooth-6,false,expert,,,,
d304homa1919-tree-1-1,d304homa1919-tree-1,Basu,tree-14,false,expert,,,,
d304homa1919-two-1-1,d304homa1919-two-1,I-bari,two-1,false,expert,,,,
d304homa1919-urine-1-1,d304homa1919-urine-1,M-ene,urine-11,false,expert,,,,
d304homa1919-village-1-1,d304homa1919-village-1,Ngi,village-26,false,expert,,,,
d304homa1919-war-1-1,d304homa1919-war-1,W-kandɯ,war-21,false,expert,,,,
d304homa1919-water-1-1,d304homa1919-water-1,dɯ-bare,water-23,false,expert,,,,
d304homa1919-wind-1-1,d304homa1919-wind-1,Mu-mbɯ,wind-23,false,expert,,,,
d304homa1919-woman-1-1,d304homa1919-woman-1,Karri,woman-7,false,expert,,,,
d305nyangali-animal-1-1,d305nyangali-animal-1,ɲàmà,animal-1,false,expert,,,,
d305nyangali-ashes-1-1,d305nyangali-ashes-1,mɔtɛ́,ashes-11,false,expert,,,,
d305nyangali-bed-1-1,d305nyangali-bed-1,ŋkɩ̀ŋgɔ̀,bed-26,false,expert,,,,
d305nyangali-belly-1-1,d305nyangali-belly-1,bʊ̀-rà,belly-23,false,expert,,,,
d305nyangali-big-1-1,d305nyangali-big-1,-kíri,big-33,false,expert,,,,
d305nyangali-bite-1-1,d305nyangali-bite-1,-bʊ́rɛ,bite-26,false,expert,,,,
d305nyangali-blood-1-1,d305nyangali-blood-1,ncámá,blood-23,false,expert,,,,
d305nyangali-bone-1-1,d305nyangali-bone-1,mʊkúa,bone-2,false,expert,,,,
d305nyangali-breast-1-1,d305nyangali-breast-1,ibɛ́rɛ,breast-1,false,expert,,,,
d305nyangali-child-1-1,d305nyangali-child-1,mwǎna,child-1,false,expert,,,,
d305nyangali-come-1-1,d305nyangali-come-1,-kúrúka,come-34,false,expert,,,,
d305nyangali-count-1-1,d305nyangali-count-1,-ànsa,count-16,false,expert,,,,
d305nyangali-dew-1-1,d305nyangali-dew-1,màmɛ̀,dew-29,false,expert,,,,
d305nyangali-die-1-1,d305nyangali-die-1,-kúsa,die-10,false,expert,,,,
d305nyangali-drink-1-1,d305nyangali-drink-1,-ɔ̀mɔ,drink-13,false,expert,,,,
d305nyangali-eat-1-1,d305nyangali-eat-1,-rá,eat-1,false,expert,,,,
d305nyangali-egg-1-1,d305nyangali-egg-1,ɩɩ́,egg-3,false,expert,,,,
d305nyangali-elephant-1-1,d305nyangali-elephant-1,nsùù,elephant-4,false,expert,,,,
d305nyangali-fall-1-1,d305nyangali-fall-1,-hʊ́ka,fall-1,false,expert,,,,
d305nyangali-fatoil-1-1,d305nyangali-fatoil-1,makúta,fatoil-1,false,expert,,,,
d305nyangali-feather-1-1,d305nyangali-feather-1,c-ɔsá,feather-22,false,expert,,,,
d305nyangali-fingernail-1-1,d305nyangali-fingernail-1,c-ǎra,fingernail-7,false,expert,,,,
d305nyangali-firewood-1-1,d305nyangali-firewood-1,ʊkúni,firewood-1,false,expert,,,,
d305nyangali-fish-1-1,d305nyangali-fish-1,ncwɩ̀,fish-1,false,expert,,,,
d305nyangali-fly-1-1,d305nyangali-fly-1,-ɔ̀ka,fly-32,false,expert,,,,
d305nyangali-four-1-1,d305nyangali-four-1,-ɲɛ̀,four-4,false,expert,,,,
d305nyangali-give-1-1,d305nyangali-give-1,-níŋka,give-27,false,expert,,,,
d305nyangali-goat-1-1,d305nyangali-goat-1,mʊ̀ràŋgɔ̀,goat-16,false,expert,,,,
d305nyangali-groundsoil-1-1,d305nyangali-groundsoil-1,kwànsí,groundsoil-2,false,expert,,,,
d305nyangali-head-1-1,d305nyangali-head-1,mʊntwɛ́,head-3,false,expert,,,,
d305nyangali-horn-1-1,d305nyangali-horn-1,ihɛ́mbɛ́,horn-21,false,expert,,,,
d305nyangali-house-1-1,d305nyangali-house-1,numbá,house-23,false,expert,,,,
d305nyangali-hunger-1-1,d305nyangali-hunger-1,rwǎka,hunger-8,false,expert,,,,
d305nyangali-knife-1-1,d305nyangali-knife-1,mwɛrɛ́,knife-28,false,expert,,,,
d305nyangali-know-1-1,d305nyangali-know-1,-siba,know-27,false,expert,,,,
d305nyangali-liver-1-1,d305nyangali-liver-1,ìnì,liver-27,false,expert,,,,
d305nyangali-man-1-1,d305nyangali-man-1,wábʊ̌mɛ,man-2,false,expert,,,,
d305nyangali-moon-1-1,d305nyangali-moon-1,mwɛ̌ri,moon-5,false,expert,,,,
d305nyangali-name-1-1,d305nyangali-name-1,rɩ̌na,name-4,false,expert,,,,
d305nyangali-neck-1-1,d305nyangali-neck-1,ɩ̀kɔ̀tì,neck-6,false,expert,,,,
d305nyangali-night-1-1,d305nyangali-night-1,mutú,night-4,false,expert,,,,
d305nyangali-nose-1-1,d305nyangali-nose-1,mɛ̌mbɛ́,nose-6,false,expert,,,,
d305nyangali-one-1-1,d305nyangali-one-1,-má,one-17,false,expert,,,,
d305nyangali-person-1-1,d305nyangali-person-1,mwɛ̀à,person-11,false,expert,,,,
d305nyangali-rain-1-1,d305nyangali-rain-1,mbúra,rain-4,false,expert,,,,
d305nyangali-road-1-1,d305nyangali-road-1,mwɛŋgɛ́rɛ́,road-26,false,expert,,,,
d305nyangali-salt-1-1,d305nyangali-salt-1,mʊ̀kwà,salt-5,false,expert,,,,
d305nyangali-see-1-1,d305nyangali-see-1,-kàɛ,see-20,false,expert,,,,
d305nyangali-shame-1-1,d305nyangali-shame-1,ŋkɛ̀nɛ̀,shame-10,false,expert,,,,
d305nyangali-skin-1-1,d305nyangali-skin-1,-kɛ̀sa,skin-24,false,expert,,,,
d305nyangali-sleep-1-1,d305nyangali-sleep-1,tɔrɔ́,sleep-1,false,expert,,,,
d305nyangali-smoke-1-1,d305nyangali-smoke-1,mwɩ̌ki,smoke-21,false,expert,,,,
d305nyangali-stone-1-1,d305nyangali-stone-1,ɩkɔí,stone-23,false,expert,,,,
d305nyangali-sun-1-1,d305nyangali-sun-1,mwɩ̌ʃɩ́,sun-15,false,expert,,,,
d305nyangali-tail-1-1,d305nyangali-tail-1,mʊkɩ́ra,tail-6,false,expert,,,,
d305nyangali-ten-1-1,d305nyangali-ten-1,ɩkúmi,ten-1,false,expert,,,,
d305nyangali-tongue-1-1,d305nyangali-tongue-1,rwǎmi,tongue-1,false,expert,,,,
d305nyangali-tooth-1-1,d305nyangali-tooth-1,rɩ̌nɔ,tooth-3,false,expert,,,,
d305nyangali-two-1-1,d305nyangali-two-1,-bɩ́,two-8,false,expert,,,,
d305nyangali-urine-1-1,d305nyangali-urine-1,màʃʊ̀,urine-13,false,expert,,,,
d305nyangali-village-1-1,d305nyangali-village-1,ʊbʊ́ŋgʊ́,village-35,false,expert,,,,
d305nyangali-war-1-1,d305nyangali-war-1,bitá,war-2,false,expert,,,,
d305nyangali-water-1-1,d305nyangali-water-1,mɛ̀cà,water-24,false,expert,,,,
d305nyangali-woman-1-1,d305nyangali-woman-1,mʊmɩ́na,woman-28,false,expert,,,,
d308bodo2-animal-1-1,d308bodo2-animal-1,nama,animal-1,false,expert,,,,
d308bodo2-arm-1-1,d308bodo2-arm-1,kɔ́ndɔ́,arm-14,false,expert,,,,
d308bodo2-ashes-1-1,d308bodo2-ashes-1,-súpú,ashes-10,false,expert,,,,
d308bodo2-bark-1-1,d308bodo2-bark-1,ɛpapi,bark-34,false,expert,,,,
d308bodo2-belly-1-1,d308bodo2-belly-1,mbowa,belly-23,false,expert,,,,
d308bodo2-big-1-1,d308bodo2-big-1,uza,big-38,false,expert,,,,
d308bodo2-bird-1-1,d308bodo2-bird-1,munoyi,bird-2,false,expert,,,,
d308bodo2-bite-1-1,d308bodo2-bite-1,kuketa,bite-27,false,expert,,,,
d308bodo2-blood-1-1,d308bodo2-blood-1,menike,blood-20,false,expert,,,,
d308bodo2-bone-1-1,d308bodo2-bone-1,uho,bone-16,false,expert,,,,
d308bodo2-breast-1-1,d308bodo2-breast-1,mabee,breast-1,false,expert,,,,
d308bodo2-burn-1-1,d308bodo2-burn-1,síóka,burn-24,false,expert,,,,
d308bodo2-cloud-1-1,d308bodo2-cloud-1,-kóbá,cloud-37,false,expert,,,,
d308bodo2-die-1-1,d308bodo2-die-1,-wo,die-1,false,expert,,,,
d308bodo2-dog-1-1,d308bodo2-dog-1,emvá,dog-2,false,expert,,,,
d308bodo2-drink-1-1,d308bodo2-drink-1,kumwa,drink-2,false,expert,,,,
d308bodo2-ear-1-1,d308bodo2-ear-1,-cwéí,ear-9,false,expert,,,,
d308bodo2-eat-1-1,d308bodo2-eat-1,kuninya,eat-6,false,expert,,,,
d308bodo2-egg-1-1,d308bodo2-egg-1,-kií,egg-3,false,expert,,,,
d308bodo2-eye-1-1,d308bodo2-eye-1,-só,eye-2,false,expert,,,,
d308bodo2-fatoil-1-1,d308bodo2-fatoil-1,mɛnɛ́,fatoil-21,false,expert,,,,
d308bodo2-feather-1-1,d308bodo2-feather-1,-atá,feather-26,false,expert,,,,
d308bodo2-fingernail-1-1,d308bodo2-fingernail-1,ndaa,fingernail-28,false,expert,,,,
d308bodo2-fire-1-1,d308bodo2-fire-1,njaa,fire-4,false,expert,,,,
d308bodo2-fish-1-1,d308bodo2-fish-1,sipe,fish-22,false,expert,,,,
d308bodo2-fly-1-1,d308bodo2-fly-1,-bumbúa,fly-6,false,expert,,,,
d308bodo2-give-1-1,d308bodo2-give-1,-injo,give-28,false,expert,,,,
d308bodo2-groundsoil-1-1,d308bodo2-groundsoil-1,etaka,groundsoil-31,false,expert,,,,
d308bodo2-hair-1-1,d308bodo2-hair-1,ndii,hair-27,false,expert,,,,
d308bodo2-head-1-1,d308bodo2-head-1,mu-tu,head-1,false,expert,,,,
d308bodo2-hear-1-1,d308bodo2-hear-1,-oka,hear-1,false,expert,,,,
d308bodo2-heart-1-1,d308bodo2-heart-1,motema,heart-1,false,expert,,,,
d308bodo2-horn-1-1,d308bodo2-horn-1,-pakáá,horn-18,false,expert,,,,
d308bodo2-knee-1-1,d308bodo2-knee-1,uú,knee-15,false,expert,,,,
d308bodo2-know-1-1,d308bodo2-know-1,-embéa,know-30,false,expert,,,,
d308bodo2-leaf-1-1,d308bodo2-leaf-1,-ané,leaf-3,false,expert,,,,
d308bodo2-leg-1-1,d308bodo2-leg-1,mutendi,leg-14,false,expert,,,,
d308bodo2-liver-1-1,d308bodo2-liver-1,-ngí,liver-31,false,expert,,,,
d308bodo2-louse-1-1,d308bodo2-louse-1,-sɔ́kɔ́ɔ,louse-26,false,expert,,,,
d308bodo2-man-1-1,d308bodo2-man-1,gue,man-30,false,expert,,,,
d308bodo2-moon-1-1,d308bodo2-moon-1,uyi,moon-19,false,expert,,,,
d308bodo2-mouth-1-1,d308bodo2-mouth-1,-nu,mouth-14,false,expert,,,,
d308bodo2-name-1-1,d308bodo2-name-1,ino,name-4,false,expert,,,,
d308bodo2-neck-1-1,d308bodo2-neck-1,emeyo,neck-18,false,expert,,,,
d308bodo2-night-1-1,d308bodo2-night-1,butu,night-4,false,expert,,,,
d308bodo2-nose-1-1,d308bodo2-nose-1,maɔ,nose-19,false,expert,,,,
d308bodo2-one-1-1,d308bodo2-one-1,mo-ngana,one-15,false,expert,,,,
d308bodo2-person-1-1,d308bodo2-person-1,to,person-9,false,expert,,,,
d308bodo2-rain-1-1,d308bodo2-rain-1,-gbaá,rain-16,false,expert,,,,
d308bodo2-road-1-1,d308bodo2-road-1,ɛgbaa,road-27,false,expert,,,,
d308bodo2-root-1-1,d308bodo2-root-1,-yo,root-22,false,expert,,,,
d308bodo2-sand-1-1,d308bodo2-sand-1,masasayi,sand-26,false,expert,,,,
d308bodo2-see-1-1,d308bodo2-see-1,-ena,see-1,false,expert,,,,
d308bodo2-skin-1-1,d308bodo2-skin-1,-mba,skin-26,false,expert,,,,
d308bodo2-sleep-1-1,d308bodo2-sleep-1,-tɔɔ́,sleep-1,false,expert,,,,
d308bodo2-smoke-1-1,d308bodo2-smoke-1,umweu,smoke-29,false,expert,,,,
d308bodo2-stone-1-1,d308bodo2-stone-1,ikopi,stone-23,false,expert,,,,
d308bodo2-sun-1-1,d308bodo2-sun-1,ɛpa,sun-40,false,expert,,,,
d308bodo2-tail-1-1,d308bodo2-tail-1,-yǎ,tail-20,false,expert,,,,
d308bodo2-tongue-1-1,d308bodo2-tongue-1,olala,tongue-13,false,expert,,,,
d308bodo2-tooth-1-1,d308bodo2-tooth-1,m-enu,tooth-3,false,expert,,,,
d308bodo2-tree-1-1,d308bodo2-tree-1,ɓoté,tree-1,false,expert,,,,
d308bodo2-two-1-1,d308bodo2-two-1,mbe-pini,two-14,false,expert,,,,
d308bodo2-walk-1-1,d308bodo2-walk-1,kukenda,walk-4,false,expert,,,,
d308bodo2-water-1-1,d308bodo2-water-1,mepo,water-22,false,expert,,,,
d308bodo2-woman-1-1,d308bodo2-woman-1,m-oyi,woman-12,false,expert,,,,
d308ebodo-animal-1-1,d308ebodo-animal-1,ɲàmà,animal-1,false,expert,,,,
d308ebodo-arm-1-1,d308ebodo-arm-1,ɩkɔ́ndɔ́,arm-14,false,expert,,,,
d308ebodo-ashes-1-1,d308ebodo-ashes-1,-súpú,ashes-10,false,expert,,,,
d308ebodo-bark-1-1,d308ebodo-bark-1,ɛpapi,bark-34,false,expert,,,,
d308ebodo-bed-1-1,d308ebodo-bed-1,bʊkwá(l)á,bed-30,false,expert,,,,
d308ebodo-belly-1-1,d308ebodo-belly-1,mbowa,belly-23,false,expert,,,,
d308ebodo-big-1-1,d308ebodo-big-1,-ja,big-38,false,expert,,,,
d308ebodo-bird-1-1,d308ebodo-bird-1,múnoi,bird-2,false,expert,,,,
d308ebodo-bite-1-1,d308ebodo-bite-1,-kɛ̀ta,bite-27,false,expert,,,,
d308ebodo-blood-1-1,d308ebodo-blood-1,meníke,blood-20,false,expert,,,,
d308ebodo-bone-1-1,d308ebodo-bone-1,uhó,bone-16,false,expert,,,,
d308ebodo-breast-1-1,d308ebodo-breast-1,mabee,breast-1,false,expert,,,,
d308ebodo-burn-1-1,d308ebodo-burn-1,kuni-ya,burn-24,false,expert,,,,
d308ebodo-child-1-1,d308ebodo-child-1,mwaná,child-1,false,expert,,,,
d308ebodo-cloud-1-1,d308ebodo-cloud-1,-kóbá,cloud-37,false,expert,,,,
d308ebodo-come-1-1,d308ebodo-come-1,kuni-ka,come-40,false,expert,,,,
d308ebodo-die-1-1,d308ebodo-die-1,ingbio,die-1,false,expert,,,,
d308ebodo-dog-1-1,d308ebodo-dog-1,ɓɛ́mva,dog-2,false,expert,,,,
d308ebodo-drink-1-1,d308ebodo-drink-1,kumwa,drink-2,false,expert,,,,
d308ebodo-ear-1-1,d308ebodo-ear-1,uʧwéí,ear-9,false,expert,,,,
d308ebodo-eat-1-1,d308ebodo-eat-1,kuninya,eat-6,false,expert,,,,
d308ebodo-egg-1-1,d308ebodo-egg-1,-kií,egg-3,false,expert,,,,
d308ebodo-elephant-1-1,d308ebodo-elephant-1,toku,elephant-9,false,expert,,,,
d308ebodo-eye-1-1,d308ebodo-eye-1,mʊ́kanɩ́ wɔ isó,eye-2,false,expert,,,,
d308ebodo-face-1-1,d308ebodo-face-1,mʊ́kanɩ́ wɔ isó,face-4,false,expert,,,,
d308ebodo-fatoil-1-1,d308ebodo-fatoil-1,mɛnɛ́,fatoil-21,false,expert,,,,
d308ebodo-feather-1-1,d308ebodo-feather-1,yatá,feather-26,false,expert,,,,
